channelGrouping,visitNumber,operatingSystem,browser,deviceCategory,isMobile,metro,city,campaign,referralPath,medium,source,bounces,hits,transactionRevenue,pageviews,newVisits,year,month,quarterMonth,day,weekday,time_range,conversion_rate,session_duration,visit_frequency,user_interaction
7,1,9,5,0,False,52,295,0,129,6,75,0,23,0.0,18,1,2017,1,1,26,3,3,0.0,1756.0,1,1
4,1,1,5,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,1,1,26,3,4,0.0,-14680.0,1,0
4,1,6,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,1,1,26,3,0,0.0,46003.0,1,0
4,1,6,5,0,False,45,172,0,197,5,23,1,1,0.0,1,1,2017,1,1,26,3,3,0.0,-22891.0,1,0
4,1,1,5,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,1,1,26,3,0,0.0,26421.0,1,0
7,1,9,5,0,False,0,210,0,4,6,61,1,1,0.0,1,1,2017,1,1,26,3,4,0.0,-53079.0,1,0
4,3,6,5,0,False,26,148,0,197,5,23,1,1,0.0,1,0,2017,1,1,26,3,0,0.0,44244.0,3,0
7,1,11,18,2,True,52,295,0,162,6,75,1,1,0.0,1,1,2017,1,1,26,3,4,0.0,-38910.0,1,0
4,1,3,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,1,1,26,3,0,0.0,50610.0,1,0
7,1,6,5,0,False,52,295,0,150,6,75,1,1,0.0,1,1,2017,1,1,26,3,4,0.0,-54709.0,1,0
6,1,9,5,0,False,0,0,0,24,6,5,1,1,0.0,1,1,2017,1,1,26,3,0,0.0,41133.0,1,0
6,2,9,5,0,False,45,257,0,0,6,48,1,1,0.0,1,0,2017,1,1,26,3,4,0.0,-34064.0,2,0
4,1,9,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,1,1,26,3,1,0.0,-32046.0,1,0
7,1,9,5,0,False,52,295,0,143,6,75,0,3,0.0,2,1,2017,1,1,26,3,0,0.0,68179.0,1,1
6,1,3,5,0,False,45,172,0,0,6,48,0,3,0.0,3,1,2017,1,1,26,3,3,0.0,-13506.0,1,1
4,1,6,5,0,False,52,295,0,197,5,23,0,4,0.0,4,1,2017,1,1,26,3,4,0.0,-27378.0,1,1
2,2,6,5,0,False,45,195,0,197,0,0,0,3,0.0,3,0,2017,1,1,26,3,4,0.0,5486.0,3,1
4,1,6,5,0,False,32,182,0,197,5,23,0,2,0.0,2,1,2017,1,1,26,3,3,0.0,14027.0,2,1
2,1,9,5,0,False,52,295,0,197,0,0,0,2,0.0,2,1,2017,1,1,26,3,0,0.0,14003.0,1,1
6,2,5,5,0,False,52,295,0,0,6,48,0,2,0.0,2,0,2017,1,1,26,3,4,0.0,-32149.0,1,1
7,1,9,5,0,False,52,295,0,129,6,75,1,1,0.0,1,1,2017,1,1,26,3,0,0.0,38677.0,1,0
7,1,9,5,0,False,52,295,0,129,6,75,1,1,0.0,1,1,2017,1,1,26,3,3,0.0,-29298.0,1,0
4,1,11,18,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,1,1,26,3,1,0.0,-23103.0,1,0
7,1,9,7,0,False,52,295,0,129,6,75,0,2,0.0,2,1,2017,1,1,26,3,3,0.0,23175.0,1,1
4,1,9,9,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,6,2,23,4,4,0.0,12783207.0,1,0
4,1,11,18,2,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,6,2,23,4,3,0.0,13815.0,1,0
2,1,5,5,0,False,52,295,0,197,0,0,1,1,0.0,1,1,2017,6,2,23,4,0,0.0,29722.0,2,0
2,1,5,5,0,False,52,295,0,197,0,0,1,1,0.0,1,1,2017,6,2,23,4,4,0.0,-53195.0,1,0
2,1,6,18,0,False,0,0,0,197,0,0,1,1,0.0,1,1,2017,6,2,23,4,1,0.0,-13700.0,1,0
5,1,11,18,1,True,45,231,1,197,3,23,1,1,0.0,1,1,2017,6,2,23,4,4,0.0,5922.0,1,0
1,1,6,5,0,False,52,295,4,197,2,3,1,1,0.0,1,1,2017,6,2,23,4,3,0.0,31182.0,2,0
3,4,6,5,0,False,0,271,0,197,4,16,1,1,0.0,1,0,2017,6,2,23,4,4,0.0,-29665.0,1,0
3,3,1,5,1,True,52,295,0,197,4,16,1,1,0.0,1,0,2017,6,2,23,4,3,0.0,24496.0,3,0
3,4,1,5,1,True,52,295,0,197,4,16,1,1,0.0,1,0,2017,6,2,23,4,3,0.0,1.0,3,0
4,1,11,19,2,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,6,2,23,4,4,0.0,-20578.0,1,0
4,1,11,18,1,True,0,161,0,197,5,23,1,1,0.0,1,1,2017,6,2,23,4,4,0.0,-2384.0,1,0
4,1,11,18,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,6,2,23,4,3,0.0,26238.0,1,0
4,1,9,8,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,6,2,23,4,4,0.0,-12828.0,1,0
4,1,11,5,1,True,2,14,0,197,5,23,1,1,0.0,1,1,2017,6,2,23,4,4,0.0,-9986.0,1,0
4,1,11,18,1,True,52,295,0,197,5,23,0,2,0.0,2,1,2017,6,2,23,4,0,0.0,44958.0,1,1
4,1,3,5,0,False,52,295,0,197,5,23,0,2,0.0,2,1,2017,6,2,23,4,3,0.0,-23574.0,1,1
6,1,6,5,0,False,0,152,0,0,6,48,0,2,0.0,2,1,2017,6,2,23,4,1,0.0,-47064.0,2,1
4,1,6,5,0,False,45,230,0,197,5,23,0,2,0.0,2,1,2017,6,2,23,4,4,0.0,34522.0,1,1
2,1,6,5,0,False,52,295,0,197,0,0,0,2,0.0,2,1,2017,6,2,23,4,3,0.0,6356.0,1,1
6,3,3,5,0,False,45,257,0,0,6,48,0,3,0.0,3,0,2017,6,2,23,4,3,0.0,3619.0,1,1
4,1,9,5,0,False,52,295,0,197,5,23,0,3,0.0,2,1,2017,6,2,23,4,0,0.0,32783.0,1,1
4,2,6,8,0,False,52,295,0,197,5,23,0,3,0.0,3,0,2017,6,2,23,4,0,0.0,-6374.0,1,1
4,1,9,9,0,False,18,111,0,197,5,23,0,3,0.0,3,1,2017,6,2,23,4,4,0.0,-40857.0,1,1
4,1,6,5,0,False,32,182,0,197,5,23,0,9,0.0,5,1,2017,6,2,23,4,0,0.0,52870.0,2,1
6,1,6,5,0,False,52,295,0,0,6,48,0,39,31.49,28,1,2017,6,2,23,4,0,31.49,-14325.0,1,1
4,1,9,5,0,False,0,250,0,197,5,23,0,40,0.0,31,1,2017,6,2,23,4,0,0.0,-4877.0,2,1
7,1,1,5,1,True,0,57,0,98,6,75,1,1,0.0,1,1,2017,6,2,23,4,1,0.0,-45752.0,1,0
4,1,11,18,1,True,0,0,0,197,5,23,1,1,0.0,1,1,2017,3,1,12,6,3,0.0,-8874420.0,1,0
4,2,6,5,0,False,52,295,0,197,5,23,1,1,0.0,1,0,2017,3,1,12,6,4,0.0,-18847.0,1,0
4,1,9,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,3,1,12,6,4,0.0,-1660.0,1,0
2,1,1,5,1,True,52,295,0,197,0,0,1,1,0.0,1,1,2017,3,1,12,6,3,0.0,29137.0,1,0
4,1,11,18,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,3,1,12,6,4,0.0,-14425.0,1,0
1,1,9,5,0,False,52,295,4,197,2,3,1,1,0.0,1,1,2017,3,1,12,6,0,0.0,29547.0,1,0
2,3,11,5,1,True,45,231,0,197,0,0,1,1,0.0,1,0,2017,3,1,12,6,3,0.0,-9521.0,1,0
2,1,6,8,0,False,52,295,0,197,0,0,1,1,0.0,1,1,2017,3,1,12,6,4,0.0,-37103.0,1,0
4,1,9,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,3,1,12,6,4,0.0,-1241.0,1,0
4,2,9,5,0,False,0,62,0,197,5,23,1,1,0.0,1,0,2017,3,1,12,6,1,0.0,-12210.0,2,0
4,1,1,5,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,3,1,12,6,1,0.0,10136.0,1,0
4,1,6,18,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,3,1,12,6,3,0.0,25374.0,1,0
4,1,11,18,1,True,52,295,0,197,5,23,0,2,0.0,2,1,2017,3,1,12,6,0,0.0,19976.0,1,1
4,1,9,5,0,False,0,265,0,197,5,23,0,2,0.0,2,1,2017,3,1,12,6,4,0.0,-35235.0,1,1
4,1,9,5,0,False,0,265,0,197,5,23,0,2,0.0,2,1,2017,3,1,12,6,4,0.0,7409.0,1,1
4,1,9,5,0,False,0,62,0,197,5,23,0,2,0.0,2,1,2017,3,1,12,6,1,0.0,-33503.0,2,1
2,7,11,18,1,True,0,0,0,197,0,0,0,3,0.0,3,0,2017,3,1,12,6,4,0.0,32735.0,8,1
4,2,9,5,0,False,52,295,0,197,5,23,0,3,0.0,3,0,2017,3,1,12,6,0,0.0,30542.0,1,1
2,8,11,18,1,True,0,0,0,197,0,0,0,5,0.0,5,0,2017,3,1,12,6,0,0.0,4640.0,8,1
4,1,9,5,0,False,52,295,0,197,5,23,0,6,0.0,5,1,2017,3,1,12,6,4,0.0,-37490.0,1,1
4,1,1,5,1,True,52,295,0,197,5,23,0,7,0.0,5,1,2017,3,1,12,6,3,0.0,23377.0,2,1
4,1,6,18,0,False,0,283,0,197,5,23,0,8,0.0,7,1,2017,3,1,12,6,4,0.0,-20466.0,1,1
4,1,6,5,0,False,45,230,0,197,5,23,0,11,0.0,11,1,2017,3,1,12,6,0,0.0,27961.0,1,1
4,2,6,5,0,False,0,241,0,197,5,23,0,14,0.0,8,0,2017,3,1,12,6,4,0.0,-22220.0,2,1
7,1,9,5,0,False,40,29,0,129,6,75,1,1,0.0,1,1,2017,3,1,12,6,0,0.0,34168.0,1,0
7,1,9,5,0,False,52,295,0,129,6,75,1,1,0.0,1,1,2017,3,1,12,6,4,0.0,-36511.0,1,0
7,1,9,5,0,False,52,295,0,150,6,75,0,2,0.0,2,1,2017,3,1,12,6,2,0.0,23633.0,1,1
7,1,9,5,0,False,52,295,0,179,6,75,0,3,0.0,3,1,2017,3,1,12,6,4,0.0,-24594.0,1,1
7,1,1,5,1,True,0,0,0,195,6,75,0,7,0.0,6,1,2017,3,1,12,6,1,0.0,-26095.0,1,1
4,2,1,5,1,True,52,295,0,197,5,23,1,1,0.0,1,0,2017,2,1,3,4,1,0.0,-3199742.0,1,0
4,1,9,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,2,1,3,4,1,0.0,3069.0,1,0
2,13,6,5,0,False,52,295,0,197,0,0,1,1,0.0,1,0,2017,2,1,3,4,4,0.0,9968.0,5,0
4,1,1,5,2,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,2,1,3,4,4,0.0,8217.0,1,0
4,1,9,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,2,1,3,4,4,0.0,-7253.0,1,0
4,1,9,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,2,1,3,4,0,0.0,43911.0,1,0
2,1,6,5,0,False,8,59,0,197,0,0,1,1,0.0,1,1,2017,2,1,3,4,3,0.0,-20489.0,1,0
4,1,9,5,0,False,0,265,0,197,5,23,1,1,0.0,1,1,2017,2,1,3,4,1,0.0,-42322.0,1,0
2,1,5,5,0,False,0,0,0,197,0,0,1,1,0.0,1,1,2017,2,1,3,4,3,0.0,46467.0,1,0
5,3,9,8,0,False,52,295,0,197,3,23,1,1,0.0,1,0,2017,2,1,3,4,1,0.0,-47199.0,1,0
2,1,6,5,0,False,52,295,0,197,0,0,1,1,0.0,1,1,2017,2,1,3,4,4,0.0,36659.0,1,0
4,3,11,18,2,True,52,295,0,197,5,23,1,1,0.0,1,0,2017,2,1,3,4,4,0.0,-14971.0,2,0
4,2,11,18,2,True,52,295,0,197,5,23,1,1,0.0,1,0,2017,2,1,3,4,4,0.0,-1818.0,2,0
4,1,0,16,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,2,1,3,4,1,0.0,-14163.0,1,0
4,1,1,5,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,2,1,3,4,3,0.0,50209.0,1,0
4,1,11,18,2,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,2,1,3,4,0,0.0,9695.0,1,0
4,1,1,5,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,2,1,3,4,0,0.0,1056.0,1,0
4,1,11,18,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,2,1,3,4,0,0.0,13031.0,1,0
6,4,5,5,0,False,52,295,0,0,6,48,0,2,0.0,2,0,2017,2,1,3,4,0,0.0,-12664.0,1,1
2,1,6,18,0,False,52,295,0,197,0,0,0,2,0.0,2,1,2017,2,1,3,4,3,0.0,-11205.0,1,1
2,1,9,5,0,False,52,295,0,197,0,0,0,2,0.0,2,1,2017,2,1,3,4,3,0.0,-9150.0,1,1
4,1,1,5,1,True,52,295,0,197,5,23,0,4,0.0,4,1,2017,2,1,3,4,3,0.0,-7234.0,1,1
4,1,11,18,1,True,52,295,0,197,5,23,0,8,0.0,8,1,2017,2,1,3,4,3,0.0,10795.0,1,1
7,1,9,7,0,False,52,295,0,130,6,75,1,1,0.0,1,1,2017,2,1,3,4,1,0.0,-44140.0,1,0
7,1,6,5,0,False,52,295,0,143,6,75,0,3,0.0,3,1,2017,2,1,3,4,4,0.0,22902.0,1,1
4,1,6,5,0,False,52,295,0,197,5,23,0,6,0.0,5,1,2016,8,3,11,3,3,0.0,-15190239.0,1,1
6,11,3,5,0,False,45,172,0,0,6,48,0,14,0.0,9,0,2016,8,3,11,3,0,0.0,31635.0,1,1
4,1,11,18,2,True,52,295,0,197,5,23,0,14,0.0,9,1,2016,8,3,11,3,3,0.0,-20736.0,1,1
4,1,1,5,1,True,52,295,0,197,5,23,0,15,0.0,13,1,2016,8,3,11,3,4,0.0,-31793.0,1,1
6,9,6,5,0,False,32,182,0,17,6,67,0,30,556.61,23,0,2016,8,3,11,3,3,61.845555555555556,28948.0,2,1
5,1,6,5,0,False,52,295,3,197,3,23,0,35,0.0,23,1,2016,8,3,11,3,4,0.0,-35808.0,1,1
6,2,6,5,0,False,45,230,0,0,6,48,0,48,0.0,35,0,2016,8,3,11,3,0,0.0,59093.0,4,1
6,8,6,5,0,False,32,182,0,17,6,67,0,53,0.0,34,0,2016,8,3,11,3,3,0.0,-33019.0,2,1
7,1,9,5,0,False,52,295,0,129,6,75,0,6,0.0,5,1,2016,8,3,11,3,1,0.0,-41967.0,1,1
7,1,9,5,0,False,52,295,0,137,6,75,1,1,0.0,1,1,2016,8,3,11,3,1,0.0,-963.0,1,0
6,1,9,5,0,False,0,25,0,40,6,6,1,2,0.0,1,1,2016,8,3,11,3,0,0.0,77226.0,1,0
4,1,1,5,1,True,52,295,0,197,5,23,0,3,0.0,2,1,2016,8,3,11,3,3,0.0,-25825.0,1,1
2,1,11,5,1,True,0,246,0,197,0,0,1,1,0.0,1,1,2016,8,3,11,3,3,0.0,-940.0,4,0
2,3,11,5,1,True,0,246,0,197,0,0,1,1,0.0,1,0,2016,8,3,11,3,0,0.0,23126.0,4,0
7,2,6,5,0,False,52,295,0,90,6,19,1,1,0.0,1,0,2016,8,3,11,3,0,0.0,6459.0,1,0
2,1,1,5,1,True,0,41,0,197,0,0,0,3,0.0,2,1,2016,8,3,11,3,4,0.0,-54335.0,1,1
2,1,1,5,1,True,26,148,0,197,0,0,0,4,0.0,4,1,2016,8,3,11,3,2,0.0,32898.0,1,1
2,1,10,18,1,True,0,41,0,197,0,0,0,4,0.0,4,1,2016,8,3,11,3,4,0.0,-32917.0,1,1
2,2,11,5,1,True,0,246,0,197,0,0,0,14,0.0,10,0,2016,8,3,11,3,2,0.0,32494.0,4,1
4,1,6,5,0,False,45,257,0,197,5,23,1,1,0.0,1,1,2016,8,3,11,3,3,0.0,-15227.0,1,0
4,1,11,5,1,True,2,14,0,197,5,23,1,1,0.0,1,1,2016,8,3,11,3,3,0.0,4958.0,1,0
4,1,6,5,0,False,45,230,0,197,5,23,0,3,0.0,3,1,2016,8,3,11,3,0,0.0,27968.0,4,1
4,1,6,18,0,False,45,257,0,197,5,23,0,3,0.0,3,1,2016,8,3,11,3,0,0.0,4115.0,1,1
7,1,9,7,0,False,52,295,0,129,6,75,1,1,0.0,1,1,2016,8,3,11,3,2,0.0,-23422.0,1,0
7,3,9,5,0,False,52,295,0,129,6,75,1,1,0.0,1,0,2016,8,3,11,3,1,0.0,-61589.0,1,0
7,1,9,8,0,False,52,295,0,143,6,75,1,1,0.0,1,1,2016,8,3,11,3,1,0.0,6381.0,1,0
7,1,9,5,0,False,52,295,0,150,6,75,1,1,0.0,1,1,2016,8,3,11,3,1,0.0,373.0,1,0
7,1,9,8,0,False,52,295,0,179,6,75,1,1,0.0,1,1,2016,8,3,11,3,3,0.0,43737.0,1,0
7,1,6,18,0,False,52,295,0,139,6,75,1,1,0.0,1,1,2016,8,3,11,3,0,0.0,20182.0,1,0
4,1,1,5,1,True,52,295,0,197,5,23,0,5,0.0,5,1,2017,6,2,13,1,0,0.0,26449059.0,1,1
4,4,6,5,0,False,45,230,0,197,5,23,0,7,0.0,7,0,2017,6,2,13,1,3,0.0,-36990.0,1,1
4,3,9,5,0,False,52,295,0,197,5,23,0,7,0.0,5,0,2017,6,2,13,1,4,0.0,-6375.0,2,1
2,1,1,5,1,True,0,57,0,197,0,0,0,16,0.0,15,1,2017,6,2,13,1,0,0.0,29057.0,1,1
6,8,6,5,0,False,4,48,0,0,6,48,0,3,0.0,3,0,2017,6,2,13,1,0,0.0,1264.0,1,1
2,1,9,5,0,False,52,295,0,197,0,0,0,3,0.0,3,1,2017,6,2,13,1,4,0.0,-30746.0,1,1
6,4,6,5,0,False,45,195,0,0,6,48,0,3,0.0,3,0,2017,6,2,13,1,0,0.0,35547.0,3,1
6,1,5,5,0,False,45,172,0,0,6,48,0,3,0.0,3,1,2017,6,2,13,1,3,0.0,-30262.0,1,1
4,1,1,5,1,True,52,295,0,197,5,23,0,3,0.0,3,1,2017,6,2,13,1,3,0.0,6803.0,1,1
4,2,9,5,0,False,52,295,0,197,5,23,0,7,0.0,5,0,2017,6,2,13,1,4,0.0,-16244.0,2,1
2,1,1,5,1,True,8,59,0,197,0,0,0,7,0.0,5,1,2017,6,2,13,1,4,0.0,2768.0,2,1
2,1,1,5,1,True,52,295,0,197,0,0,0,9,0.0,7,1,2017,6,2,13,1,2,0.0,25432.0,2,1
4,2,1,5,1,True,52,295,0,197,5,23,0,9,0.0,9,0,2017,6,2,13,1,2,0.0,503.0,2,1
4,1,9,8,0,False,52,295,0,197,5,23,0,16,0.0,13,1,2017,6,2,13,1,1,0.0,-45611.0,1,1
6,3,6,5,0,False,46,245,0,0,6,48,0,18,13.59,18,0,2017,6,2,13,1,4,4.53,19422.0,1,1
1,9,6,5,0,False,52,295,4,197,2,3,0,23,0.0,21,0,2017,6,2,13,1,1,0.0,-25701.0,6,1
4,1,1,5,1,True,52,295,0,197,5,23,0,29,0.0,19,1,2017,6,2,13,1,1,0.0,9742.0,1,1
1,8,6,5,0,False,52,295,4,197,2,3,0,47,0.0,37,0,2017,6,2,13,1,1,0.0,-16512.0,6,1
4,1,11,18,2,True,0,246,0,197,5,23,1,1,0.0,1,1,2017,6,2,13,1,1,0.0,11708.0,1,0
4,1,9,5,0,False,0,112,0,197,5,23,1,1,0.0,1,1,2017,6,2,13,1,3,0.0,29151.0,1,0
6,2,9,5,0,False,52,295,0,24,6,5,0,2,0.0,2,0,2017,6,2,13,1,4,0.0,-15912.0,1,1
1,1,1,5,1,True,52,295,4,197,2,3,0,2,0.0,2,1,2017,6,2,13,1,1,0.0,-20615.0,1,1
2,6,9,5,0,False,41,225,0,197,0,0,0,3,0.0,3,0,2017,6,2,13,1,3,0.0,42988.0,3,1
4,2,1,5,1,True,8,59,0,197,5,23,1,1,0.0,1,0,2017,6,2,13,1,4,0.0,-14406.0,2,0
2,1,9,5,0,False,52,295,0,197,0,0,1,1,0.0,1,1,2017,6,2,13,1,1,0.0,-32652.0,1,0
4,1,9,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,6,2,13,1,2,0.0,58837.0,1,0
4,1,1,5,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,6,2,13,1,0,0.0,21267.0,1,0
4,1,11,18,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,6,2,13,1,0,0.0,1391.0,1,0
4,1,11,18,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,6,2,13,1,4,0.0,-50901.0,1,0
4,1,9,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,6,2,13,1,0,0.0,33270.0,1,0
4,1,1,5,1,True,0,47,0,197,5,23,0,2,0.0,2,1,2017,6,2,13,1,3,0.0,-23175.0,1,1
4,1,11,18,1,True,52,295,0,197,5,23,0,2,0.0,2,1,2017,6,2,13,1,1,0.0,-23523.0,1,1
4,1,6,8,0,False,52,295,0,197,5,23,0,2,0.0,2,1,2017,6,2,13,1,0,0.0,48397.0,1,1
2,1,1,5,1,True,25,147,0,197,0,0,1,1,0.0,1,1,2017,1,1,13,4,3,0.0,-13058103.0,1,0
2,1,1,5,1,True,32,182,0,197,0,0,1,1,0.0,1,1,2017,1,1,13,4,0,0.0,8725.0,1,0
4,1,9,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2017,1,1,13,4,1,0.0,-53885.0,1,0
4,1,6,5,0,False,0,7,0,197,5,23,1,1,0.0,1,1,2017,1,1,13,4,1,0.0,-7918.0,1,0
2,1,1,5,1,True,52,295,0,197,0,0,1,1,0.0,1,1,2017,1,1,13,4,0,0.0,70879.0,1,0
1,1,6,18,0,False,32,182,4,197,2,3,1,1,0.0,1,1,2017,1,1,13,4,3,0.0,-18406.0,1,0
4,1,1,5,1,True,52,295,0,197,5,23,1,1,0.0,1,1,2017,1,1,13,4,1,0.0,-39875.0,1,0
